path,tracked_by_git,size_bytes,mtime,ext,detected_type,recommendation,reason
.gitattributes,true,206,2024-08-15,-,config,keep,Essential git configuration
.gitignore,true,611,2024-08-28,-,config,keep,Essential git configuration
README.md,true,87,2024-08-09,md,doc,keep,Project documentation
analysis.csv,true,7985,2024-09-04,csv,report,move,Analysis artifact
analyze_files.sh,true,1226,2024-09-04,sh,script,move,Analysis tooling
analyze_server.sh,true,1233,2024-09-04,sh,script,move,Analysis tooling
bids_dao_refactoring_report.md,true,4936,2024-09-05,md,report,move,Refactoring documentation
circular_deps_removal_report.txt,true,2847,2024-09-05,txt,report,move,Analysis documentation
class_decomposition_report.md,true,4812,2024-09-05,md,report,move,Analysis documentation
consistency_check.sh,true,2270,2024-09-04,sh,script,move,Analysis tooling
convert_sql.py,true,1728,2024-08-15,py,script,move,SQL conversion utility
cookie.txt,true,135,2024-08-28,txt,secret,delete,Contains auth cookies/tokens
cookies.txt,true,354,2024-08-29,txt,secret,delete,Contains auth cookies/tokens
cookies_new.txt,true,354,2024-08-29,txt,secret,delete,Contains auth cookies/tokens
final_report.sh,true,5816,2024-09-04,sh,script,move,Reporting tooling
generate_report.sh,true,5920,2024-09-04,sh,script,move,Reporting tooling
login_response.txt,true,1707,2024-09-04,txt,secret,delete,Contains auth response/tokens
rescue_staged.patch,true,0,2024-09-04,patch,tmp,delete,Empty patch file
rescue_working.patch,true,0,2024-09-04,patch,tmp,delete,Empty patch file
server_analysis.csv,true,7985,2024-09-04,csv,report,move,Analysis artifact (duplicate)
server_debug.log,true,2406,2024-09-05,log,log,delete,Debug/build log
server_files.txt,true,6820,2024-09-04,txt,report,move,File listing report
